kernel,folder,stage,status,src_files,activated_by,headline,vs_cpu,profile,doc_status,memory_refs
v19-scatter,01-forward-scatter/v19-scatter,forward-scatter,SHIPPED,v19_scatter_dm.cpp;v19_scatter_b_dm.cpp,GATHER_MODE=v19,54/54 PASS; scatter 1.45-6.5ms cell-bound,2.1x avg (1.27-3.16x),host-only(zones PENDING),DONE-measured,v19_l1_atomic_converges;v19_works_all_grids;v19_block_fp32_outcome
v11-scatter,01-forward-scatter/v11-scatter,forward-scatter,SHIPPED,v11_scatter_dm.cpp;v11_scatter_b_dm.cpp;v11_outer_scatter_dm.cpp;v11_outer_scatter_b_dm.cpp,GATHER_MODE=v11/v11outer_auto,48/54 PASS; route 1.16-5.1ms; FAILS bigblue3 clustered (cap overflow),~1.04x,device-csv-exists,DONE-measured,v11_a2_perf_win;v11_stage_bprime_sweep_outcome;v11_ox0_backpressure
v18-scatter,01-forward-scatter/v18-scatter,forward-scatter,VALIDATED,v18_scatter_dm.cpp;v18_scatter_b_dm.cpp;v18_outer_scatter_dm.cpp;v18_outer_scatter_b_dm.cpp,GATHER_MODE=v18,doc done; CRASHES bigblue3 clustered (route overflow) — guard,"correct, not wall-win",device-csv-exists,DONE-measured,v18_phase3_outcome
v13-fpu-scatter,01-forward-scatter/v13-fpu-scatter,forward-scatter,VALIDATED,v13_scatter_brisc.cpp;v13_scatter_ncrisc.cpp,GATHER_MODE=v13_fpu,FPU matmul density,converges 0.13%,device-csv-exists,DONE,project_v13_fpu_convergence;v13_fpu_density_normalization
v4-base,01-forward-scatter/v4-base,forward-scatter,SHIPPED,v4_reader.cpp;v4_compute.cpp;v4_outer_compute.cpp,shared(all modes),foundation reader/SFPU-compute,n/a,device-csv-exists,DONE,v11_stage_bprime_outer_product;v11_g_prescale_win
v12-scatter,01-forward-scatter/v12-scatter,forward-scatter,SUPERSEDED,v12_scatter_brisc.cpp;v12_scatter_ncrisc.cpp;v12_brisc_combined.cpp;v12_ncrisc_combined.cpp,legacy,intermediate V11->V13,n/a,none,DONE,
v11-accum,02-forward-gather-accum/v11-accum,forward-gather,SHIPPED,v11_accum_dm.cpp;v11_accum_n_dm.cpp;v11_histogram.cpp;v11_reduce_a_dm.cpp;v11_reduce_bc_dm.cpp,GATHER_MODE=v11/v19,gather -30% @2048 (pmerge+prescale),feeds v11/v19,device-csv-exists,DONE,v11_g_pmerge_win;v11_g_prescale_win;v11_gather_skew_diagnostic
v19-writeout,02-forward-gather-accum/v19-writeout,forward-gather,SHIPPED,v19_writeout_fp32_dm.cpp;v19_writeout_void_ncrisc.cpp;v19_writeout_dm.cpp,GATHER_MODE=v19,"fp32 on-chip writeout, ~0ms host",kills host de-stride,host-only(zones PENDING),DONE,v19_block_fp32_outcome
v13-accum-mt,02-forward-gather-accum/v13-accum-mt,forward-gather,VALIDATED,v13_accum_brisc_mt.cpp;v13_accum_compute_mt.cpp;v13_accum_ncrisc_void.cpp;v13_llk_math_kaccum.h,GATHER_MODE=v13_fpu,multithreaded FPU accum,converges,device-csv-exists,DONE,v13_fpu_density_normalization;project_v13_fpu_convergence
v15-gather,02-forward-gather-accum/v15-gather,forward-gather,VALIDATED,v15_gather_brisc.cpp;v15_gather_compute.cpp;v15_gather_ncrisc.cpp;v15_gather_brisc_stream.cpp,GATHER_MODE=v15,DRAM-spill gather,converges post-fix,device-csv-exists,DONE,v15_spill_pgsz_bug
v14-arch-a,02-forward-gather-accum/v14-arch-a,forward-gather,SUPERSEDED,v14_reduce_brisc.cpp;v14_reduce_compute.cpp;v14_reduce_ncrisc.cpp;v14_scatter_brisc.cpp;v14_scatter_compute.cpp;v14_scatter_ncrisc.cpp,GATHER_MODE=v14,ARCH-A reduce/scatter (IPC server),n/a,device-csv-exists,DONE,
